id,title,year,critic_score,type,original_language
84,Henry V,1989,100,Action & Adventure,English
849,Kiki's Delivery Service,1989,98,Kids & Family,Japanese
860,The Little Mermaid,1989,93,Kids & Family,English
1142,Henry V,1989,100,Romance,English
1162,Say Anything...,1989,98,Romance,English
1195,The Little Mermaid,1989,93,Romance,English
780,The Witches,1990,93,Horror,English
781,Arachnophobia,1990,93,Horror,English
792,Misery,1990,90,Horror,English
885,The Witches,1990,93,Kids & Family,English
718,The Silence of the Lambs,1991,96,Horror,English
828,Beauty and the Beast,1991,94,Kids & Family,English
1053,The Silence of the Lambs,1991,96,Mystery & Suspense,English
1131,Only Yesterday,1991,100,Romance,Japanese
1134,Beauty and the Beast,1991,94,Romance,English
1193,Daughters of the Dust,1991,93,Romance,English
1264,Beauty and the Beast,1991,94,Science Fiction & Fantasy,English
484,The Player,1992,98,Comedy,English
851,Aladdin,1992,95,Kids & Family,English
1189,Howards End,1992,94,Romance,English
1192,The Crying Game,1992,94,Romance,English
93,The Fugitive,1993,96,Action & Adventure,English
481,Groundhog Day,1993,96,Comedy,English
795,Cronos,1993,91,Horror,English
834,The Nightmare Before Christmas,1993,95,Kids & Family,English
1088,The Fugitive,1993,96,Mystery & Suspense,English
1097,Jurassic Park,1993,91,Mystery & Suspense,English
1099,In the Line of Fire,1993,96,Mystery & Suspense,English
1143,Groundhog Day,1993,96,Romance,English
1163,Blue,1993,98,Romance,French (Canada)
1181,Dave,1993,95,Romance,English
1275,The Nightmare Before Christmas,1993,95,Science Fiction & Fantasy,English
1276,Groundhog Day,1993,96,Science Fiction & Fantasy,English
1296,Jurassic Park,1993,91,Science Fiction & Fantasy,English
95,The Lion King,1994,93,Action & Adventure,English
842,The Lion King,1994,93,Kids & Family,English
868,The Secret of Roan Inish,1994,95,Kids & Family,English
1137,Three Colors: Red,1994,100,Romance,French (Canada)
1173,Four Weddings and a Funeral,1994,96,Romance,English
94,Apollo 13,1995,96,Action & Adventure,English
437,Toy Story,1995,100,Comedy,English
819,Toy Story,1995,100,Kids & Family,English
845,Babe,1995,97,Kids & Family,English (Australia)
1147,Before Sunrise,1995,100,Romance,English
1167,Sense and Sensibility,1995,97,Romance,English
881,That Thing You Do!,1996,93,Kids & Family,English
887,James and the Giant Peach,1996,91,Kids & Family,English
1185,A Summer's Tale,1996,98,Romance,French (Canada)
1188,Big Night,1996,96,Romance,English
697,L.A. Confidential,1997,99,Drama,English
864,Princess Mononoke,1997,93,Kids & Family,Japanese
1036,L.A. Confidential,1997,99,Mystery & Suspense,English
1160,Titanic,1997,89,Romance,English
486,The Truman Show,1998,95,Comedy,English
871,Antz,1998,92,Kids & Family,English
876,A Bug's Life,1998,92,Kids & Family,English
1174,Shakespeare in Love,1998,92,Romance,English
422,Toy Story 2,1999,100,Comedy,English
811,Toy Story 2,1999,100,Kids & Family,English
839,The Iron Giant,1999,96,Kids & Family,English
857,The Straight Story,1999,95,Kids & Family,English
1286,The Iron Giant,1999,96,Science Fiction & Fantasy,English
71,Chicken Run,2000,97,Action & Adventure,English
92,Crouching Tiger, Hidden Dragon,2000,97,Action & Adventure,Chinese
465,Chicken Run,2000,97,Comedy,English
757,Werckmeister Harmonies,2000,98,Horror,Unknown language
830,Chicken Run,2000,97,Kids & Family,English
1157,Crouching Tiger, Hidden Dragon,2000,97,Romance,Chinese
483,Monsters, Inc.,2001,96,Comedy,English
835,Monsters, Inc.,2001,96,Kids & Family,English
838,Spirited Away,2001,97,Kids & Family,Japanese
872,Spy Kids,2001,93,Kids & Family,English
889,Shrek,2001,88,Kids & Family,English
1198,Monsoon Wedding,2001,95,Romance,English
1277,Monsters, Inc.,2001,96,Science Fiction & Fantasy,English
1284,Spirited Away,2001,97,Science Fiction & Fantasy,Japanese
85,The Lord of the Rings: The Two Towers,2002,95,Action & Adventure,English
97,Catch Me if You Can,2002,96,Action & Adventure,English
798,28 Days Later,2002,87,Horror,English
1196,About a Boy,2002,93,Romance,English
1278,The Lord of the Rings: The Two Towers,2002,95,Science Fiction & Fantasy,English
426,Finding Nemo,2003,99,Comedy,English
498,Lost in Translation,2003,95,Comedy,English
813,Finding Nemo,2003,99,Kids & Family,English
1161,Lost in Translation,2003,95,Romance,English
454,The Incredibles,2004,97,Comedy,English
459,Sideways,2004,97,Comedy,English
758,Shaun of the Dead,2004,92,Horror,English
824,The Incredibles,2004,97,Kids & Family,English
865,Harry Potter and the Prisoner of Azkaban,2004,90,Kids & Family,English
883,Shrek 2,2004,89,Kids & Family,English
1133,Sideways,2004,97,Romance,English
1183,Eternal Sunshine of the Spotless Mind,2004,92,Romance,English
1187,Before Sunset,2004,94,Romance,English
846,Wallace & Gromit: The Curse of the Were-Rabbit,2005,95,Kids & Family,
874,Harry Potter and the Goblet of Fire,2005,88,Kids & Family,English
891,Lassie,2005,93,Kids & Family,English
893,Duma,2005,93,Kids & Family,English
73,Casino Royale,2006,94,Action & Adventure,English
